# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwiniáns seleccionados:

multiwinia_help_title_taskselect                 SELECIONAR ATAQUE AÉREO
multiwinia_help_selecttask                       Pulsa a tecla TAB para selecionar a túa nova mellora de Ataque Aéreo.
multiwinia_help_selecttask_xbox                  Pulsa el botón superior frontal derecho para seleccionar tu nueva mejora de Ataque Aéreo.

multiwinia_help_title_airstrike                  LANZAR ATAQUE AÉREO
multiwinia_help_useairstrike                     Haz clic co botón esquerdo aquí para lanzar un Ataque Aéreo contra o punto de xeración do inimigo.
multiwinia_help_useairstrike_xbox                Pulsa A aquí para lanzar un Ataque Aéreo contra el punto de generación del enemigo.

multiwinia_help_title_radardish                  ANTENA DE RADAR
multiwinia_help_radardish                        Esto é unha antena de radar. Podes utilizala para mover a los Multiwiniáns entre as islas. Haz clic co botón esquerdo sobre a antena para selecionala
multiwinia_help_radardish_xbox                   Esto es una antena de radar. Puedes utilizarla para mover a los Multiwinianos entre las islas. Pulsa A con la antena resaltada para seleccionarla

multiwinia_help_title_aimdish                    SELECIONAR ANTENA
multiwinia_help_aimdish                          Seleciona a antena de destino. Haz clic co botón esquerdo sobre a antena para conectalas. Non fai falta conectar así todas as antenas, algunas conectaránse automaticamente.
multiwinia_help_aimdish_xbox                     Selecciona la antena de destino. Pulsa a con la antena resaltada para conectarlas. No hace falta conectar así todas las antenas, algunas se conectarán automáticamente.

multiwinia_help_title_deselect                   ANULAR SELECIÓN
multiwinia_help_deselect                         Agora as antenas están conectadas. Pulsa a barra de espacio para anulala seleción. Podes anular a seleccón de todas as unidades coa barra de espacio.
multiwinia_help_deselect_xbox                    Ahora las antenas están conectadas. Pulsa B para anular la selección. Puedes anular la selección de todas las unidades pulsando el botón B.

multiwinia_help_title_useradar                   USAR O RADAR
multiwinia_help_useradar                         Fai clic co botón dereito sobre a antena de radar para meter dentro ós teus Multiwiniáns.
multiwinia_help_useradar_xbox                    Pulsa X con la antena de radar resaltada para meter dentro a tus Multiwinianos.

multiwinia_help_title_radartransit               RADAR
multiwinia_help_radartransit                     Tus Multiwiniáns viaxarán pola conexión e aparecerán no outro lado.

multiwinia_help_orderradar                       Haz clic co botón dereito no radar para que tu oficial mande entrar ós Multiwiniáns.
multiwinia_help_orderradar_xbox                  Pulsa X con el radar seleccionado para que tu oficial mande entrar a los Multiwinianos.

multiwinia_help_title_makeformation              CREAR FORMACIÓN
multiwinia_help_makeformation                    Haz clic co botón dereito no chan, cerca dun oficial, para crear unha formación. Os puntos do chan mostran onde empeza a formación.
multiwinia_help_makeformation_xbox               Pulsa X en el suelo, cerca de un oficial, para crear una formación. Los puntos del suelo muestran dónde empieza la formación.

multiwinia_help_title_moveformation              MOVER FORMACIÓN
multiwinia_help_moveformation                    Haz clic co botón dereito aquí para mover á túa formación hacia a zona de puntuación.
multiwinia_help_moveformation_xbox               Pulsa X aquí para mover tu formación hacia la zona de puntuación.

multiwinia_help_title_formations                 FORMACIóNS
multiwinia_help_formationsinfo                   As formacións teñen una gran potencia de fogo hacia o frente, pero son vulnerables pola retagarda.

multiwinia_help_title_fattack                    ATACAR
multiwinia_help_fattack                          Utiliza á túa formación para atacar o punto de xeración do inimigo. Non te acerques moito: as formacións teñen un gran alcance pero son vulnerables nas distancias cortas.

multiwinia_help_title_selectarmour               SELECIONAR BLINDADO
multiwinia_help_selectarmour                     Pulsa a tecla TAB para selecionar á túa nova unidade blindada.
multiwinia_help_selectarmour_xbox                Pulsa el botón superior frontal derecho para seleccionar tu nueva unidad blindada.

multiwinia_help_title_placearmour                COLOCAR BLINDADO
multiwinia_help_placearmour                      Debes colocar as unidades cerca dun edificio que xa posexas. Haz clic co botón esquerdo no círculo cercano ó teu punto de xeración para colocar o blindado.
multiwinia_help_placearmour_xbox                 Debes colocar las unidades cerca de un edificio que ya poseas. Pulsa A en el círculo cercano a tu punto de generación para colocar el blindado.

multiwinia_help_title_loadarmour                 CARGAR BLINDADO
multiwinia_help_loadarmour                       Las unidades blindadas poden transportar grupos de Multiwiniáns a gran velocidade sobre calquera terreo. Fai clic co botón dereito no blindado o no seu señalizador para que os Multiwiniáns cercanos entren.
multiwinia_help_loadarmour_xbox                  Las unidades blindadas pueden transportar grupos de Multiwinianos a gran velocidad sobre cualquier terreno. Pulsa X con el blindado o su señalizador resaltado para que los Multiwinianos cercanos entren.

multiwinia_help_title_movearmour                 MOVER BLINDADO
multiwinia_help_movearmour                       Haz clic co botón dereito cerca deste punto de xeración para levar ó teu blindado. Os blindados poden pasar fácilmente sobre montañas e auga.
multiwinia_help_movearmour_xbox                  Pulsa X cerca de este punto de generación para llevar a tu blindado. Los blindados pueden pasar fácilmente sobre montañas y agua.

multiwinia_help_title_unloadarmour               DESCARGAR BLINDADO
multiwinia_help_unloadarmour                     Haz clic co botón dereito no blindado o no seu señalizador para que os Multiwiniáns que hai dentro salten e capturen o punto de xeración cercano.
multiwinia_help_unloadarmour_xbox                Pulsa X en el blindado o en su señalizador para que los Multiwinianos que hay dentro saltan y capturen el punto de generación cercano.

multiwinia_help_title_station                    CAPTURAR RADAR
multiwinia_help_station                          Leva Multiwiniáns a esta Estación de Control para capturar a antena de radar. Captura tamén a zona de puntuación cercana!

multiwinia_help_title_win                        GAÑAR A PARTIDA
multiwinia_help_win                              Utiliza os teus oficiales, blindados e antenas de radar para capturar todas as zonas de puntuación que podas e gañar a partida. Recorda que recibes un punto por segundo por cada zona que controles.

multiwinia_help_title_breakformation             DESFACER FORMACIÓN
multiwinia_help_breakformation                   Para desfacer unha formación de Multiwiniáns, pulsa co botón dereito do rato sobre o oficial o na súa bandeira. Dese modo, os Multiwiniáns acabarán cos superviventes e capturarán o punto de xeración.
multiwinia_help_breakformation_xbox              Para deshacer una formación de Multiwinianos, pulsa X en el oficial o en su bandera. De ese modo, los Multiwinianos acabarán con los supervivientes y capturarán el punto de generación.

multiwinia_help_title_clearinfo                  PULSA ESPACIO
multiwinia_help_clearinfo                        Pulsa ESPACIO ou o botón esquerdo do rato para ocultar o cadro de información da mellora.
multiwinia_help_clearinfo_xbox                   Pulsa A para ocultar el cuadro de información de la mejora.

multiwinia_help_general                          Aiuda xeral

multiwinia_helppage_general1                     Estes son Multiwiniáns. Viven en Darwinia y compoñen todo o teu ejército. Están equipados con Láseres e Granadas, e atacarán automáticamente a calquera Multiwinián inimigo que esté cerca. Para movelos, mantén pulsado o Botón Esquerdo do rato para selecionar un grupo, e logo fai clic co Botón Dereito do rato onde queras que vaian.
multiwinia_helppage_general2                     Pódese ascender ós Multiwiniáns a Oficiais usando o Botón Derecho do rato. Ó pulsar outra vez o Botón Dereito do rato cerca do Oficial, éste ordenará a todos os Multiwiniáns que se poñan nun poderoso modo de Formación. Si se pulsa el Botón Derecho del ratón lejos del Oficial, éste ordenará a todos los Multiwinianos que vayan automáticamente a esa posición. Los Oficiales (y todas las demás unidades) se pueden reseleccionar usando el Botón Izquierdo del ratón y deseleccionar con la barra espaciadora.
multiwinia_helppage_general3                     Os Multiwiniáns créanse nos Puntos de Xeración. En cada Punto de Xeración que controles crearánse periódicamente grupos de nuevos Multiwiniáns. Para capturar un nuevo Punto de Generación, simplemente acerca a tus Multiwinianos a él. Ellos se harán con su control automáticamente, siempre que no haya Multiwinianos enemigos en él.
multiwinia_helppage_general4                     Cuando se acercan bastante, os Multiwiniáns enemigos atacánse automáticamente entre eles con láseres. Se hai un gran grupo de inimigos, un Multiwinián lanzará de vez en cando unha granada (a no ser que estén en una Formación, en cuyo caso só poden disparar láseres de lume).
multiwinia_helppage_general5                     As caixas que conteñen unha mellora aleatoria caerán do ceo durante a partida. Para recoller estas caixas, simplemente leva Multiwiniáns a elas. Cantos máis Multiwiniáns uses, máis rápido capturarás a caixa. As melloras seleciónanse usando a tecla Tabulador (también pódense usar as teclas numéricas para selecionar directamente unha mellora), e se usan co Botón Esquerdo do rato.

multiwinia_helppage_general1_xin                 Estes son Multiwiniáns. Viven en Darwinia y componen todo tu ejército. Están equipados con Láseres y Granadas, y atacarán automáticamente a cualquier Multiwiniano enemigo que esté cerca. Para moverlos, mantén pulsado el botón A para seleccionar un grupo, luego pulsa el botón X donde quieras que vayan.
multiwinia_helppage_general2_xin                 Se puede ascender a los Multiwiniáns a Oficiales usando el botón X. Al pulsar otra vez el botón X cerca del Oficial, éste ordenará a todos los Multiwinianos que se pongan en un poderoso modo de Formación. Si se pulsa el botón X lejos del Oficial, éste ordenará a todos los Multiwinianos que vayan automáticamente a esa posición. Los Oficiales (y todas las demás unidades) se pueden reseleccionar usando el botón A y deseleccionar con el botón B.
multiwinia_helppage_general5_xin                 Las cajas que contienen una mejora aleatoria caerán del cielo durante la partida. Para recoger estas cajas, simplemente lleva Multiwinianos a ellas. Cuantos más Multiwinianos uses, más rápido capturarás la caja. Las mejoras se seleccionan usando el botón superior frontal izquierdo y el botón superior frontal derecho, y se usan con el botón A.

# Domination
multiwinia_help_gametypetitle_0                  Cómo xogar a Dominación
multiwinia_helplabel_1_0                         Punto de Xeración
multiwinia_helplabel_1_1                         Forza Atacante
multiwinia_helplabel_1_2                         Defensores

# King of the Hill
multiwinia_help_gametypetitle_1                  Cómo xogar a Rei da Colina
multiwinia_helplabel_2_0                         Zona de Colina Azul
multiwinia_helplabel_2_1                         Multiwiniáns Atacantes

# Capture The Statue
multiwinia_help_gametypetitle_2                  Cómo xogar a Capturar a Estatua
multiwinia_helplabel_3_0                         Obxectivo
multiwinia_helplabel_3_1                         Estatua
multiwinia_helplabel_3_2                         Lixeiro Desvío

# Assault
multiwinia_help_gametypetitle_3                  Cómo xogar a Asalto
multiwinia_helplabel_4_0                         ADM
multiwinia_helplabel_4_1                         Estación de Control
multiwinia_helplabel_4_2                         Torretas de Armas
multiwinia_helplabel_4_3                         Muro

# Rocket Riot
multiwinia_help_gametypetitle_4                  Cómo xogar a Carrera Espacial
multiwinia_helplabel_5_0                         Foguete
multiwinia_helplabel_5_1                         Panel Solar
multiwinia_helplabel_5_2                         Nivel de Combustible
multiwinia_helplabel_5_3                         Cousa Luminosa

# Blitzkrieg
multiwinia_help_gametypetitle_5                  Cómo xogar a Blitzkrieg
multiwinia_helplabel_6_0                         Bandera
multiwinia_helplabel_6_1                         Forza Atacante


# Note - If nessecery, strings can be split up (ie multiwinia_helppage_1_1 could be split into multiwinia_helppage_1_1 and multiwinia_helppage_1_2)
multiwinia_helppage_1_1                          En Dominación, o obxectivo é capturar tódolos Puntos de Xeración que podas antes de que se acabe o tempo. Gaña o jugador que teña máis Puntos de Xeración cando finalice o xogo. Ademáis, cualquera equipo que non teña un Punto de Xeración durante 30 segundos será eliminado. Si eliminas a tódolos equipos inimigos, tamén gañarás a partida.

multiwinia_helppage_2_1                          En Rei da Colina, o teu obxectivo é controlar tantas Zonas de Colina como podas o máximo de tempo posible. Por cada Zona que controles obterás 1 punto por segundo. Gana o xogador que máis puntos teña cando termiñe a partida.
multiwinia_helppage_2_2                          Para capturar unha Zona de Colina simplemente leva ós teus Multiwiniáns a ela. Se non hai Multiwiniáns inimigos, faraste co control da Zona e empezarás a obter puntos. Se xa hai outros Multiwiniáns, o equipo que teña máis Multiwiniáns alí controlará a Zona.

multiwinia_helppage_3_1                          En Captura a Estatua, obtés puntos levantandolas estatuas xigantes e levándolas á túa zona de puntuación. Por cada estatua que captures obterás 1 punto. Gana o xogador que máis puntos teña cando termiñe a partida. As estatuas aparecerán durante a partida nas zonas blancas distribuidas polos niveis.
multiwinia_helppage_3_2                          Para levantar unha estatua e transportala necesitas levar cerca de ela un gran número de Multiwiniáns. Unha vez que teñas bastantes Multiwiniáns cerca, levantarán a estatua e a transportarán automáticamente. Se queres que a leven a outro sitio, selceiona ós Multiwiniáns e pulsa o Botón Dereito do ratón no lugar desexado.
multiwinia_helppage_3_2_xin                      Para levantar una estatua y transportarla necesitas llevar cerca de ella a un gran número de Multiwinianos. Una vez tengas bastantes Multiwinianos cerca, levantarán la estatua y la transportarán automáticamente. Si quieres que la lleven a otro sitio, selecciona a los Multiwinianos y pulsa el botón X en el lugar deseado.
multiwinia_helppage_3_3                          Se xa hai Multiwiniáns inimigos na estatua, terás que superalos en número para levarte a estatua. Se xa están movendo a estatua, podes facer que a deixen destruíndo dous Multiwiniáns que a transporten.

multiwinia_helppage_4_1                          En Asalto, os jugadores divídense en 2 grupos: Atacantes e Defensores. Ós Defensores dáselles unha zona moi defendida para que a protexan. O Atacante debe entrar en dicha zona e capturar as Estaciones de Control do seu interior. O número de Atacantes sempre será moi superior que o de Defensores e recibirá reforzos con regularidade.
multiwinia_helppage_4_2                          En cada mapa de Asalto hai unha ADM que pertence ó equipo defensor. A ADM ten un temporizador. Cuando éste chega a 0, a bomba detona, os Defensores gañan a partida e o equipo atacante é destruido completamente. Si o equipo atacante captura as Estaciones de Control antes, a ADM é destruida e os Atacantes gañan a partida.
multiwinia_helppage_4_3                          Algúns mapas de Asalto teñen grandes explosivos móbiles chamados Reventa Muros. Os Multiwiniáns poden transportalos e, se os levan directamente a un muro inimigo, o muro e todo o que o rodea serán destruidos.

multiwinia_helppage_5_1                          A Carrera Espacial ten 3 objetivos. Primeiro debes cargar o teu Foguete de combustible capturando os Paneis Solares distribuidos polo mapa. Cando o teu Foguete teña combustible, tes que cargalo de pasaxeiros Multiwiniáns. Entón, o teu Foguete iniciará a conta atrás. Debes defendelo ata que se lance con éxito.
multiwinia_helppage_5_2                          Os Paneis Solares captúranse da mesma forma que os Puntos de Xeración, simplemente leva ós teus Multiwiniáns ata eles. Os Paneis Solares alimentarán ós xeradores de combustible. Por tanto, unha vez que os captures tes que asegurarte de conservalos para conseguir o máximo efecto.
multiwinia_helppage_5_3                          Cando o nivel de combustible do teu Foguete chegue a 95 podes empezar a cargar Multiwiniáns. Os Multiwiniáns subirán ó Foguete automáticamente, é necesario que estén cerca do Foguete para que podan facelo. Terás que cargar 100 Multiwiniáns no teu Foguete para que se inicie a secuencia de lanzamento.
multiwinia_helppage_5_4                          Defender o teu Cohete é unha tarea moi importante. Cuando o nivel de combustible do teu Foguete chegue a 70, tu Cohete será vulnerable ós ataques de Multiwiniáns inimigos. Os Multiwiniáns inimigos que cheguen cerca do teu Foguete o atacarán automáticamente con granadas. Se provocan bastantes daños, o teu combustible e os teus pasaxeiros arderán e terás que empezar de novo.

multiwinia_helppage_6_1                          En Blitzkrieg, o obxectivo é eliminar ós equipos enemigos capturando as súas banderas. No podes atacar á súa bandeira directamente, tés que enlazar á túa propia bandeira á do teu inimigo capturando as outras bandeiras que hai distribuídas polo nivel. Cada vez que ti ou un equipo inimigo capture una bandera, ésta desbloqueará outras bandeiras próximas para que as captures.
multiwinia_helppage_6_2                          A primeira bandeira que captures é a túa banderia casa. É moi importante que a defendas. Se un equipo inimigo a captura e a volve a enlazar a súa bandera, quédaste fóra da partida. Podes romper este enlace capturando calquera bandeira que esté en medio, pero se perdes á túa bandeira casa antes quedarás eliminado de la partida.
multiwinia_helppage_6_3                          Se elimiñas a todos os demás equipos do mapa, gañarás a partida. Sin embargo, se se acaba o tempo antes de que o consigas, o gañador será o que o fixo mellor durante a partida. Cada equipo que quede na partida obterá 1 punto por cada bandeira que estea baixo o seu control nese momento, e 10 puntos por cada equipo que eliminasen. Obviamente, isto significa que se elimiñas equipos enemigos tés máis probabilidades de gañar a partida.

# == Controller Labels ==

multiwinia_help_controllabel_0                   Mover cámara / Mover escuadra
multiwinia_help_controllabel_1                   Mellora anterior
multiwinia_help_controllabel_2                   Cámara arriba
multiwinia_help_controllabel_3                   Rotar cámara / láseres de escuadra
multiwinia_help_controllabel_4                   Seguinte mellora
multiwinia_help_controllabel_5                   Cámara abaixo
multiwinia_help_controllabel_6                   Confirmar / Mover unidade
multiwinia_help_controllabel_7                   Deselecionar / Cancelar
multiwinia_help_controllabel_8                   Crear Oficial / Especial
multiwinia_help_controllabel_9                   Destruir mellora

# == Game Options ==

multiwinia_param_scoremode                       Modo de puntuación
multiwinia_param_timelimit                       Límite de tempo
multiwinia_param_handicap                        Dificultade
multiwinia_param_cratedroprate                   Periodo de caída de caixas
multiwinia_param_startingpowerups                Melloras iniciais
multiwinia_param_retributionmode                 Modo de retribución
multiwinia_param_reinforcementtimer              Temporizador de reforzos
multiwinia_param_reinforcementcount              Cuenta de reforzos
multiwinia_param_maxarmour                       Armadura máxima
multiwinia_param_turretfrequency                 Frecuencia de torreta
multiwinia_param_numtanks                        Número de tanques
multiwinia_param_suddendeath                     Morte Súbita
multiwinia_menu_privateslots                     Ranuras privadas
multiwinia_param_cratedropmode                   Modo de caída de cajas
multiwinia_param_maxturrets                      Máx. de Torretas de Armas
multiwinia_param_basiccrates                     Só caixas básicas

multiwinia_param_scoremode_description_0         Modifica a forma na que se determinan as puntuaciones durante a partida.\n\n - Puntos de Xeración totales: 1 punto por cada Punto de Xeración que un xogador controla.\n\nPuntos de Xeración por segundo: 1 punto por segundo por cada Punto de Xeración que controla un xogador.
multiwinia_param_scoremode_description_1         Modifica a forma na que se determinan as puntuaciones durante a partida.\n\n - Zonas Controladas por Segundo: 1 punto por segundo por cada Zona de Colina baixo o teu control. \n\n - Población de Zona por Segundo: 1 punto por segundo por cada Multiwinián que teñas en cada Zona de Colina.\n\n - Población de Zona Final: cada equipo obtén 1 punto por cada Multiwinián que ten en Zona de Colina. O que máis Multiwinianos teña en Zona de Colina cando o tempo se acabe gaña.\n\n - Control de Zona Total: 1 punto por cada segundo que controles todas as Zonas de Colina do nivel. Este é un modo moi difícil.
multiwinia_param_timelimit_description           Establece o límite de tempo (en minutos) desta partida.\n0 = Ilimitado.
multiwinia_param_timelimit_description_1         Establece o límite de tempo (en minutos) desta partida.
multiwinia_param_timelimit_description_2         Activa o desactiva a partida cooperativa neste nivel. Si está activada, os xogadores dividiránse en 2 equipos e colaborarán contra outro equipo.
multiwinia_param_timelimit_description_5         Establece o límite de tempo (en minutos) para esta partida.\n0 = Unlimited.\n\nSe o tiempo chega a 0 antes de que se declare un gañador, o número de bandeiras controladas e o número de equipos eliminados por cada equipo determinarán ó gañador. Obténse 1 punto por bandera e 10 puntos por eliminación.
multiwinia_param_handicap_description            O porcentaje máximo aumenta no ritmo de xeración de Puntos de Xeración cando un xogador ten dificultades.\n\nUn xogador recibe unha dificultad se o número de Puntos de Xeración que controla é bastante más bajo que o promedio de Puntos de Xeración por equipo.
multiwinia_param_cratedroprate_description       Controla o ritmo ó que caen as caixas (en segundos). A este valor aplícaselle un 50% de desviación por caída.\n\n(Ej: un valor de 40 faría que caesen caixas cada 20-60 segundos e un valor de 10 faría que caesen caixas cada 5-15 segundos).\n\n0 = Ningunha Caixa
multiwinia_param_startingpowerups_description    El número de mejoras coas que comenza cada equipo. Cada equipo recibirá melloras completamente aleatorias que darán a algúns jugadores maior ventalla.
multiwinia_param_retributionmode_description     Cando se elimine a un xogador, éste recibirá periódicamente unha mellora para permitile continuar na partida ata o final.
multiwinia_param_reinforcementtimer_description  O tempo entre cada oleada de reforzos dun Porto Troncal (en segundos)
multiwinia_param_reinforcementcount_description  O número de Multiwiniáns que se recibirán en cada oleada de reforzos.
multiwinia_param_maxarmour_description           O número máximo de unidades de Armadura que pode tener un equipo ó mesmo tempo.
multiwinia_param_turretfrequency_description     Determina a frecuencia coa que un equipo recibe unha Torreta de Armas nova.\n\n(Ej: se é 3, cada equipo recibirá unha Torreta de Armas nova con cada tercera oleada de reforzos).
multiwinia_param_numtanks_description            O número de Tanques que ten cada xogador antes de ser elimiñado.
multiwinia_menu_coop_description                 Activa ou desactiva o xogo cooperativo neste nivel. Si está activado, os xogadores dividiránse en 2 equipos e traballarán xuntos contra o outro equipo.
multiwinia_menu_aimode_description               Controla a dificultade dos Xogadores CPU deste nivel.
multiwinia_menu_singleround_description          Si está activado, só xogaráse unha ronda de Asalto (p.ej. El equipo que teña éxito gaña a partida),\nSe está desactivado, xogaránse varias rondas con cada jugador que ocupe cada posición, e o que defenda durante máis tiempo será o gañador global.
multiwinia_menu_privateslots_description         Determiña o número de espacios deste juego que son Sólo-Invitar.
multiwinia_param_suddendeath_description_0       En caso de Empate, comezará a Morte Súbita.\n\nO primer xogador que capture un Punto de Xeración ou desactive un Punto de Xeración inimigo gañará a partida.
multiwinia_param_suddendeath_description_1       En caso de Empate, comezará a Morte Súbita.\n\nAñadirase un minuto extra ó reloxo e o que teña a puntuación máis alta ó terminar o minuto gañará a partida.
multiwinia_param_suddendeath_description_2       En caso de Empate, comezará a Morte Súbita.\n\nO siguiente xogador que capture unha estatua gañará a partida.
multiwinia_param_suddendeath_description_5       En caso de Empate, comezará a Morte Súbita.\n\nO siguiente xogador que capture unha bandeira gañará a partida.
multiwinia_param_cratedropmode_description       Altera a forma na que se determiña o lugar de caída das Caixas.\n\n -Ponderada: as caídas de caixas están determinadas pola puntuación do equipo. Canto menos puntues (comparado cos demáis), máis probable será que unha Caixa caiga cerca do teu equipo.\n\n  -Aleatoria: os lugares de caída escóllense aleatoriamente.
multiwinia_param_maxturrets_description          Controla o número máximo de Torretas de Armas que o teu equipo pode ter en xogo ó mesmo tempo. Este valor só se aplica ás torretas que tes situadas. Esto significa que se capturas torretas inimigas poderás superar este valor, pero se un inimigo captura unha túa seguirá contando para o teu límite.
multiwinia_param_basiccrates_description         Se se activa, as caixas só conterán unha serie básica de melloras.
multiwinia_menu_serverpassword_description       Establece unha clave para o teu servidor. Os xogadores terán que introducir esta clave para poder unirse á partida.


# === Skirmish ====================================

multiwinia_option_0_0_0                          Puntos de Xen. Totales
multiwinia_option_0_0_1                          Puntos de Xen. por Segundo
multiwinia_skirmish_elimination_30               Serás eliminado en 30 segundos!
multiwinia_other_elimination                     *T será eliminado en 30 segundos!
multiwinia_option_0_5_0                          Non
multiwinia_option_0_5_1                          Si
multiwinia_option_0_6_0                          Non
multiwinia_option_0_6_1                          Si
multiwinia_option_0_7_0                          Aleatoria
multiwinia_option_0_7_1                          Ponderada

multiwinia_dom_eliminated                        Eliminado
multiwinia_dom_eliminatedin                      Eliminación en *S segundos
multiwinia_dom_spawnpoints                       *X Puntos de Xeración
multiwinia_player_eliminated                     Estás eliminado!
multiwinia_other_eliminated                      *T está eliminado!

multiwinia_points                                *X puntos


# === King of the Hill ============================

multiwinia_option_1_0_0                          Zonas controladas por segundo
multiwinia_option_1_0_1                          Población de Zona por segundo
multiwinia_option_1_0_2                          Población de Zona final
multiwinia_option_1_0_3                          Control de Zona total
multiwinia_option_1_5_0                          Non
multiwinia_option_1_5_1                          Si
multiwinia_option_1_6_0                          Non
multiwinia_option_1_6_1                          Si
multiwinia_option_1_7_0                          Aleatoria
multiwinia_option_1_7_1                          Ponderada

# === Capture the Statue ===========================

multiwinia_cts_newstatue                         ¡Nueva estatua!
multiwinia_cts_statuecapture                     ¡*T ha capturado una estatua!
multiwinia_option_2_2_0                          No
multiwinia_option_2_2_1                          Si
multiwinia_option_2_3_0                          No
multiwinia_option_2_3_1                          Si
multiwinia_option_2_4_0                          Aleatoria
multiwinia_option_2_4_1                          Ponderada

# === Blitzkrieg ==================================

multiwinia_option_5_6_0                          No
multiwinia_option_5_6_1                          Si
multiwinia_option_5_7_0                          No
multiwinia_option_5_7_1                          Si
multiwinia_option_5_8_0                          Aleatoria
multiwinia_option_5_8_1                          Ponderada

multiwinia_blitzkreig_score                      *X banderas

multiwinia_blitzkrieg_enemyoccupied              ENEMIGO OCUPADO
multiwinia_blitzkrieg_underattack                Baixo amenaza
multiwinia_blitzkrieg_unoccupied                 Baixo amenaza
multiwinia_blitzkrieg_underthreat                Baixo amenaza
multiwinia_blitzkrieg_safe                       A salvo
multiwinia_blitzkrieg_eliminated                 Eliminado


# === Assault =====================================

multiwinia_attackers                             Atacantes
multiwinia_defenders                             Defensores
multiwinia_attackers_win                         Os Atacantes gañan!
multiwinia_defenders_win                         Os Defensores gañan!
multiwinia_team_win                              *T gaña!
multiwinia_roundattacking                        RONDA *X: TI ATACAS
multiwinia_rounddefending                        RONDA *X: TI DEFENDES
multiwinia_nextroundin                           SEGUINTE RONDA EN: *S
multiwinia_defendedfor                           *T defendido por *S
multiwinia_defendedfor_score                     defendido por *S
multiwinia_assault_holdtheline                   Defende á ADM!
multiwinia_assault_ticktock                      Ataca e destrúe á ADM!
multiwinia_assault_objcntrlstation               Panel de control da ADM
multiwinia_assault_objpulsebomb                  ARMA DE DESTRUCIÓN MASIVA
multiwinia_assault_defended                      DEFENDIDA
multiwinia_assault_captured                      CAPTURADA
multiwinia_assault_destroyed                     DESTRUIDA
multiwinia_assault_lost                          INVADIDA
multiwinia_assault_unoccupied                    .


# ==== Rocket Riot ========

multiwinia_rr_refueled                           O teu Foguete recargouse!
multiwinia_rr_otherrefueled                      O Foguete de *T recargouse!
multiwinia_rr_launchprep                         O teu Foguete preparáse para o lanzamento!
multiwinia_rr_launchprepother                    O Foguete de *T preparáse para o lanzamento!
multiwinia_rr_passengers                         pasaxeiros
multiwinia_rr_damage                             DANO
multiwinia_rr_liftoff                            LANZAMENTO EN *S
multiwinia_rr_fuel                               combustible

multiwinia_rr_status_a                           Captura paneis\nsolares para\nrecargar o foguete
multiwinia_rr_status_b                           Carga o foguete\ncon 100\nMultiwiniáns
multiwinia_rr_status_c                           ESTÁN ATACANDO\nO TEU FOGUETE!\n\nDANOS *T
multiwinia_rr_status_d                           DESPEGUE!
multiwinia_rr_status_e                           O teu foguete\nestá\nARDENDO!
multiwinia_rr_status_f                           Combustible *T

# === Tank battle =================================

multiwinia_tankloss                              *T perde un Tanque!
multiwinia_numtanks                              *X Tanques

# === new dialog strings ==========================

dialog_wronggame                                 Partida incorrecta!
dialog_fullonly                                  Só xogo completo
dialog_gamma                                     Gamma
dialog_overscan                                  Analizar
dialog_resetprofile                              Restablecer perfil
dialog_terminated                                * TERMINADO
dialog_baseunderattack                           A túa base está sendo atacada!
dialog_rocketdestroyed                           O teu foguete destruíuse!

dialog_unplugged_pc                              Tu panel de control se ha desconectado. Por favor, vuélvelo a conectar o pulsa Esc para continuar.

dialog_powerup_limit                             Límite de melloras alcanzado!
dialog_previous                                  Anterior

dialog_credits                                   Créditos

dialog_inverty                                   Invertir o eixe Y
dialog_empty                                     Vacío

multiwinia_kills_500                             500 mortes!
multiwinia_kills_1000                            1000 mortes!
multiwinia_kills_2000                            2000 mortes!
multiwinia_kills_3000                            3000 mortes!
multiwinia_kills_4000                            4000 mortes!
multiwinia_kills_5000                            5000 mortes!

multiwinia_presstotalk                           Pulsa Intro para falar
multiwinia_lobbypresstotalk                      Pulsa ESPACIO para falar

multiwinia_downloadingfromserver                 Descargando o mapa desde o servidor: *P%

# === new editor strings ==========================


editor_leveloption_0                             SinDificultad
editor_leveloption_1                             CapturadeGeneraciónInstantánea
editor_leveloption_2                             Refuerzos de Puertotroncal
editor_leveloption_3                             Armadura de Puertotroncal
editor_leveloption_4                             Sin TorretasdeArmas
editor_leveloption_5                             Refuerzos de Atacante
editor_leveloption_6                             Refuerzos de Defensor
editor_leveloption_7                             Tipo de Refuerzo de Def.
editor_leveloption_8                             Tipo de Refuerzo de At.
editor_leveloption_9                             Radares del mismo equipo
editor_leveloption_10                            Radares sin control manual
editor_leveloption_11                            Núm. zonas para Ataque Aéreo (AR)
editor_leveloption_12                            Equipo Futurowiniano
editor_leveloption_13                            Modo de Refuerzo de At.
editor_leveloption_14                            Modo de Refuerzo de Def.


editor_checkcliffs                               Analizar Acantilados

editor_flattentype                               Tipo Aplanado
editor_flatten_absolute                          Absoluto
editor_flatten_add                               Añadir
editor_flatten_subtract                          Quitar
editor_flatten_subtract2                         Quitar 2
editor_flatten_smooth                            Suave
editor_threshold                                 Umbral
